id_pivo,umidade,temperatura,ph,n,p,k,estado_bomba,capturado_em,hora,dia_semana,estado_bomba_bin,rendimento,volume_irrigacao,necessidade_fertilizacao
p1,58.88,34.44,4.0,81,86,12,OFF,2025-10-01 06:53:29,6,2,0,0.9170248023786853,7.804909419102895,20.406562014896274
p3,53.47,39.3,6.67,44,48,100,ON,2025-10-01 07:39:57,7,2,1,1.0754594171615426,12.337445471515828,17.51433753969919
p2,66.36,27.52,6.95,65,95,26,OFF,2025-10-01 09:16:48,9,2,0,33.64031851066621,1.7178446654772408,21.388247597201662
p2,68.62,18.6,7.28,55,100,0,OFF,2025-10-01 09:37:50,9,2,0,10.56580070133666,0.0,41.33594867244859
p2,68.03,15.35,6.95,97,59,93,OFF,2025-10-01 09:42:54,9,2,0,7.975007435594427,1.2858155303349184,1.8386610940582835
p3,73.38,20.74,7.65,66,68,1,OFF,2025-10-01 09:49:51,9,2,0,0.7725806416245007,0.0,36.68495094653515
p1,73.69,18.3,7.87,42,25,55,OFF,2025-10-01 11:21:39,11,2,0,1.90568355397183,1.2530654908533463,30.50021690150874
p3,61.97,31.94,4.0,97,82,100,OFF,2025-10-01 12:17:07,12,2,0,0.0,5.994213753178248,3.565009615076811
p1,79.85,18.05,4.1,10,67,58,OFF,2025-10-01 12:59:28,12,2,0,0.0,0.31629690313213077,31.69529298722955
p1,65.5,27.66,4.0,99,91,59,OFF,2025-10-01 13:31:25,13,2,0,0.0,0.8846804115570363,2.720798718888287
p2,62.97,32.36,6.32,15,26,39,OFF,2025-10-01 13:32:41,13,2,0,20.053996885315,4.078464862464511,53.92446056181566
p3,63.71,29.53,4.0,29,79,12,OFF,2025-10-01 16:54:45,16,2,0,2.3376452392085527,0.0,46.85697535418511
p3,76.66,19.99,6.64,82,47,57,OFF,2025-10-01 17:21:50,17,2,0,27.809059052789042,0.4533873277281919,9.129864943345988
p3,52.35,35.1,5.63,74,18,90,OFF,2025-10-01 19:18:52,19,2,0,7.335307381478803,12.21496900324029,25.57251627038999
p3,57.64,32.89,5.15,98,17,9,OFF,2025-10-01 19:53:55,19,2,0,2.3207809631871585,7.745557830414514,44.71792034270302
p3,58.81,33.47,4.0,75,56,88,OFF,2025-10-01 20:11:11,20,2,0,0.0,8.03229876934674,2.197520803499449
p2,80.0,18.28,4.06,64,32,41,OFF,2025-10-01 21:16:33,21,2,0,1.1096098623311865,0.0,24.63903096867883
p1,74.32,18.09,4.09,34,10,54,OFF,2025-10-01 21:52:13,21,2,0,0.0,0.0,49.93754076420377
p3,54.78,38.19,8.04,0,43,16,OFF,2025-10-01 21:54:31,21,2,0,2.77521480675113,10.69239599376193,71.27901803042101
p2,66.74,24.94,6.3,12,65,62,OFF,2025-10-01 22:11:37,22,2,0,48.30841602506228,0.842333226121237,34.38782651699795
p2,70.38,22.52,7.04,30,32,18,OFF,2025-10-01 23:22:18,23,2,0,13.663461174182943,0.550400867371519,56.289648479180144
p2,69.49,27.21,4.96,4,96,27,OFF,2025-10-02 00:06:01,0,3,0,0.0,1.324379050927602,54.8869426149611
