ID_PIVO,UMIDADE,TEMPERATURA,PH,N,P,K,ESTADO_BOMBA,CAPTURADO_EM
p1,58.88,34.44,4.0,81,86,12,OFF,2025-10-01 06:53:29
p3,53.47,39.3,6.67,44,48,100,ON,2025-10-01 07:39:57
p2,66.36,27.52,6.95,65,95,26,OFF,2025-10-01 09:16:48
p2,68.62,18.6,7.28,55,100,0,OFF,2025-10-01 09:37:50
p2,68.03,15.35,6.95,97,59,93,OFF,2025-10-01 09:42:54
p3,73.38,20.74,7.65,66,68,1,OFF,2025-10-01 09:49:51
p1,73.69,18.3,7.87,42,25,55,OFF,2025-10-01 11:21:39
p3,61.97,31.94,4.0,97,82,100,OFF,2025-10-01 12:17:07
p1,79.85,18.05,4.1,10,67,58,OFF,2025-10-01 12:59:28
p1,65.5,27.66,4.0,99,91,59,OFF,2025-10-01 13:31:25
p2,62.97,32.36,6.32,15,26,39,OFF,2025-10-01 13:32:41
p3,63.71,29.53,4.0,29,79,12,OFF,2025-10-01 16:54:45
p3,76.66,19.99,6.64,82,47,57,OFF,2025-10-01 17:21:50
p3,52.35,35.1,5.63,74,18,90,OFF,2025-10-01 19:18:52
p3,57.64,32.89,5.15,98,17,9,OFF,2025-10-01 19:53:55
p3,58.81,33.47,4.0,75,56,88,OFF,2025-10-01 20:11:11
p2,80.0,18.28,4.06,64,32,41,OFF,2025-10-01 21:16:33
p1,74.32,18.09,4.09,34,10,54,OFF,2025-10-01 21:52:13
p3,54.78,38.19,8.04,0,43,16,OFF,2025-10-01 21:54:31
p2,66.74,24.94,6.3,12,65,62,OFF,2025-10-01 22:11:37
p2,70.38,22.52,7.04,30,32,18,OFF,2025-10-01 23:22:18
p2,69.49,27.21,4.96,4,96,27,OFF,2025-10-02 00:06:01
p1,50.15,31.57,4.56,51,78,72,OFF,2025-10-02 00:14:26
p3,44.85,38.89,4.64,78,51,5,ON,2025-10-02 01:29:05
p3,64.0,22.16,5.83,97,94,45,OFF,2025-10-02 01:58:15
p2,40.59,38.12,6.77,49,43,60,OFF,2025-10-02 02:37:23
p2,75.86,15.62,4.0,88,14,13,OFF,2025-10-02 03:25:58
p3,67.09,28.88,7.12,99,3,29,OFF,2025-10-02 05:33:27
p2,59.56,30.85,4.0,86,94,34,OFF,2025-10-02 05:33:42
p2,77.81,17.65,7.21,46,96,67,ON,2025-10-02 05:43:55
p2,80.0,18.51,4.0,32,74,98,OFF,2025-10-02 06:16:48
